FOLIO,CONCESIONARIO,K_GRUPO,GRUPO,ANIO,MES,FECHA,K_EMPRESA,EMPRESA,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_AMBOS_E,S_NO_ESPECIFICADO_E,S_TOTAL_E
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,4,15APR2015,C0378,MEGACABLE,14336,140,,,14476
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,5,15-may-15,C0378,MEGACABLE,14403,164,,,14567
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,6,15-jun-15,C0378,MEGACABLE,14549,176,,,14725
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,7,15-jul-15,C0378,MEGACABLE,14854,96,,,14950
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,8,15AUG2015,C0378,MEGACABLE,15078,107,,,15185
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,9,15-sep-15,C0378,MEGACABLE,15176,128,,,15304
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,10,15-oct-15,C0378,MEGACABLE,15304,149,,,15453
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,11,15-nov-15,C0378,MEGACABLE,15435,181,,,15616
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2015,12,15DEC2015,C0378,MEGACABLE,16147,209,,,16356
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2016,1,15JAN2016,C0378,MEGACABLE,16964,252,,,17216
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2016,2,15-feb-16,C0378,MEGACABLE,17318,264,,,17582
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2016,3,15-mar-16,C0378,MEGACABLE,17416,292,,,17708
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2016,4,15APR2016,C0378,MEGACABLE,17584,293,,,17877
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2016,5,15-may-16,C0378,MEGACABLE,17622,325,,,17947
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2016,6,15-jun-16,C0378,MEGACABLE,17815,363,,,18178
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,1,15JAN2013,C0378,MEGACABLE,12606,153,,,12759
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,2,15-feb-13,C0378,MEGACABLE,12717,155,,,12872
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,3,15-mar-13,C0378,MEGACABLE,12809,156,,,12965
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,4,15APR2013,C0378,MEGACABLE,12956,158,,,13114
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,5,15-may-13,C0378,MEGACABLE,12907,157,,,13064
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,6,15-jun-13,C0378,MEGACABLE,12949,157,,,13106
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,7,15-jul-13,C0378,MEGACABLE,13221,161,,,13382
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,8,15AUG2013,C0378,MEGACABLE,13322,162,,,13484
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,9,15-sep-13,C0378,MEGACABLE,13311,162,,,13473
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,10,15-oct-13,C0378,MEGACABLE,13442,163,,,13605
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,11,15-nov-13,C0378,MEGACABLE,13499,164,,,13663
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2013,12,15DEC2013,C0378,MEGACABLE,13736,167,,,13903
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,1,15JAN2014,C0378,MEGACABLE,14013,170,,,14183
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,2,15-feb-14,C0378,MEGACABLE,14110,172,,,14282
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,3,15-mar-14,C0378,MEGACABLE,14296,174,,,14470
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,4,15APR2014,C0378,MEGACABLE,14461,176,,,14637
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,5,15-may-14,C0378,MEGACABLE,14560,177,,,14737
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,6,15-jun-14,C0378,MEGACABLE,14727,179,,,14906
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,7,15-jul-14,C0378,MEGACABLE,14903,181,,,15084
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,8,15AUG2014,C0378,MEGACABLE,14993,182,,,15175
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,9,15-sep-14,C0378,MEGACABLE,15058,183,,,15241
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,10,15-oct-14,C0378,MEGACABLE,15091,183,,,15274
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,11,15-nov-14,C0378,MEGACABLE,15249,185,,,15434
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2014,12,15DEC2014,C0378,MEGACABLE,15452,188,,,15640
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,1,15JAN2015,C0378,MEGACABLE,15585,189,,,15774
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,2,15-feb-15,C0378,MEGACABLE,15600,190,,,15790
