FECHA,GRUPO,MARKET_SHARE
15DEC2007,CABLEVISION RED,0.04673
15DEC2007,MAXCOM,0.00092
15DEC2007,GRUPO TELEVISA,0.4665
15DEC2007,MEGACABLE-MCM,0.20762
15DEC2007,OTROS,0.08731
15DEC2007,DISH-MVS,0.09451
15DEC2007,TV REY,0.0014
15DEC2007,ULTRAVISION,0.01028
15DEC2007,AIRECABLE,0.00158
15DEC2007,CABLECOM,0.08314
15-mar-08,DISH-MVS,0.09073
15-mar-08,CABLEVISION RED,0.04616
15-mar-08,CABLECOM,0.08279
15-mar-08,MAXCOM,0.00123
15-mar-08,GRUPO TELEVISA,0.46447
15-mar-08,ULTRAVISION,0.01071
15-mar-08,MEGACABLE-MCM,0.21167
15-mar-08,OTROS,0.08932
15-mar-08,AIRECABLE,0.00155
15-mar-08,TV REY,0.00136
15-jun-08,DISH-MVS,0.08773
15-jun-08,CABLEVISION RED,0.04516
15-jun-08,CABLECOM,0.08284
15-jun-08,GRUPO TELEVISA,0.46575
15-jun-08,AIRECABLE,0.00153
15-jun-08,MEGACABLE-MCM,0.21297
15-jun-08,MAXCOM,0.00146
15-jun-08,TV REY,0.00133
15-jun-08,OTROS,0.09031
15-jun-08,ULTRAVISION,0.01089
15-sep-08,TV REY,0.00131
15-sep-08,MAXCOM,0.00154
15-sep-08,MEGACABLE-MCM,0.21266
15-sep-08,CABLEVISION RED,0.04466
15-sep-08,CABLECOM,0.08353
15-sep-08,DISH-MVS,0.08443
15-sep-08,GRUPO TELEVISA,0.46696
15-sep-08,AIRECABLE,0.00158
15-sep-08,OTROS,0.09242
15-sep-08,ULTRAVISION,0.01092
15DEC2008,DISH-MVS,0.08047
15DEC2008,CABLEVISION RED,0.0442
15DEC2008,CABLECOM,0.08443
15DEC2008,MAXCOM,0.00145
15DEC2008,GRUPO TELEVISA,0.46581
15DEC2008,ULTRAVISION,0.01084
15DEC2008,AIRECABLE,0.00157
15DEC2008,OTROS,0.09428
15DEC2008,TV REY,0.00129
15DEC2008,MEGACABLE-MCM,0.21565
15-mar-09,DISH-MVS,0.08268
15-mar-09,MAXCOM,0.00132
15-mar-09,CABLECOM,0.0852
15-mar-09,AIRECABLE,0.00156
